Index	Link	Playlist ID	Optional / Essential (O/E)
Exercise 2	/e/measuring_angles/	g4_p16	E
Video 8	/v/acute-right-and-obtuse-angles/	g4_p16	E
Exercise 3	/e/angle_types/	g4_p16	E
Video 9	/v/vertical--adjacent-and-linearly-paired-angles/	g4_p16	E
Exercise 4	/e/exploring_angle_pairs_1/	g4_p16	E
	Quiz 18	g4_p16	E
			
Playlist 17: Logical Reasoning (OPTIONAL)		g4_p17	O
	Subtitle: Week 26	g4_p17	O
Video 1	/v/conditional-statements-and-deductive-reasoning/	g4_p17	O
Video 2	/v/conditional-statements-exercise-examples/	g4_p17	O
Video 3	/v/logical-argument-and-deductive-reasoning-exercise-example/	g4_p17	O
Exercise 1	/e/conditional_statements_2/	g4_p17	O
Exercise 2	/e/logical_arguments_deductive_reasoning/	g4_p17	O
Exercise 3	 /e/conditional_statements_and_truth_value/	g4_p17	O
			
Playlist 18: Addition & Subtraction Word Problems; Circumference & Area of Circles		g4_p18	E
	Subtitle: Week 27	g4_p18	E
Video 1	/v/subtraction-word-problem/	g4_p18	E
Exercise 1	/e/arithmetic_word_problems_1/	g4_p18	E
	Subtitle: Week 30	g4_p18	E
Video 2	/v/circles--radius--diameter-and-circumference/	g4_p18	E
Video 3	/v/parts-of-a-circle/	g4_p18	E
Exercise 2	/e/radius_diameter_and_circumference/	g4_p18	E
Video 4	/v/language-and-notation-of-the-circle/	g4_p18	E
Video 5	/v/circles--radius--diameter-and-circumference/	g4_p18	E
Video 6	/v/parts-of-a-circle/	g4_p18	E
			
	Unit Test 6	g4_p16, g4_p18	E
