Index	Link	Playlist ID	Essential/Optional (E/O)
Video 9	/v/quadrilateral-properties/	g5_p10	O
Video 10	/v/perimeter-of-a-polygon/	g5_p10	O
Video 11	/v/area-of-a-kite/	g5_p10	O

Playlist 11- Quadrilaterals, Telling time		g5_p11

	Subtitle: Week 13	g5_p11
Video 1	/v/understanding-multiplication-through-area-models/	g5_p11	E
Video 2	/v/area-model-for-multiplication/	g5_p11	E
Video 3	/v/quadrilateral-overview/	g5_p11	E
Video 4	/v/quadrilateral-properties/	g5_p11	E
Video 5	/v/kites-as-a-mathematical-shape/	g5_p11	E
Video 6	/v/quadrilateral-types-exercise/	g5_p11	E
Video 7	/v/proof---opposite-sides-of-parallelogram-congruent/	g5_p11	O
Video 8	/v/proof---diagonals-of-a-parallelogram-bisect-each-other/	g5_p11	O
Video 9	/v/proof---opposite-angles-of-parallelogram-congruent/	g5_p11	O
Video 10	/v/proof---rhombus-diagonals-are-perpendicular-bisectors/	g5_p11	O
Video 11	/v/proof---rhombus-area-half-product-of-diagonal-length/	g5_p11	O
Video 12	/v/area-of-a-parallelogram/	g5_p11	E
Exercise 1	/e/quadrilateral_types/	g5_p11	E
Exercise 2	/e/quadrilateral_angles/	g5_p11	E

	Subtitle: week 14
Video 12	/v/telling-time-exercise-example-1/	g5_p11	E
Video 13	/v/telling-time-exercise-example-2/	g5_p11	E
Exercise 3	/e/telling_time_0.5/	g5_p11	E
Exercise 4	/e/telling_time/	g5_p11	E
Exercise 5	/e/telling_time_2	g5_p11	E
	Quiz 6	g5_p10, g5_p11
Playlist 12- Understanding Fractions,Equivalent fraction2
		g5_p12

	Subtitle: week 15	g5_p12
Video 1	/v/introduction-to-fractions/	g5_p12	E
Video 2	/v/identifying-fraction-parts/	g5_p12	E
Video 3	/v/recognizing-fractions-exercise/	g5_p12	E
Video 4	/v/numerator-and-denominator-of-a-fraction/	g5_p12	E
Video 5	/v/plotting-basic-fractions-on-the-number-line/	g5_p12	E
Video 6	/v/fraction-word-problems-1-exercise/	g5_p12	E
Exercise 1	/e/recognizing_fractions_0.5/	g5_p12	E
Exercise 2	/e/recognizing_fractions/	g5_p12	E
Exercise 3	/e/fractions_on_the_number_line_1/	g5_p12	E
Exercise 4	/e/fraction_word_problems_1/	g5_p12	E
Exercise 5 	e/fractions_cut_and_copy_1/	g5_p12	E

	Subtitle:week 16	g5_p12
Video 7	/v/visualizing-equivalent-fraction/	g5_p12	E
Video 8	/v/equivalent-fraction-word-problem-example/	g5_p12	E
Video 9	/v/equivalent-fraction-word-problem-example-2/	g5_p12	E
Video 10	/v/equivalent-fraction-word-problem-example-3/	g5_p12	E
Video 11	/v/fractions-cut-and-copy-1-exercise/	g5_p12	E
Video 12	Video12:/v/fractions-in-lowest-terms/	g5_p12	E
Video 13	/v/equivalent-fractions/	g5_p12	E
Video 14	/v/equivalent-fractions-example/	g5_p12	E
Exercise 6	/e/equivalent_fractions_2/	g5_p12	E
