Index	Link	Playlist_ID	Essential/Optional (E/O)
Video 4	/v/descartes-and-cartesian-coordinates/	g6_p13	E
Video 5	/v/why-all-the-letters-in-algebra/	g6_p13	E
	Unit Test-3 	g6_p11, g6_p12, g6_p13	E
			
	Playlist 14: The why of algebra	g6_p14	E
Video 1	 /v/why-we-do-the-same--thing-to-both-sides--simple-equations/	g6_p14	E
Video 2	/v/representing-a-relationship-with-a-simple-equation/	g6_p14	E
Video 3	/v/one-step-equation-intuition/	g6_p14	E
Video 4	/v/one-step-equation-intuition-exercise-intro/	g6_p14	E
Video 5	/v/adding-and-subtracting-the-same-thing-from-both-sides/	g6_p14	E
Video 6	/v/intuition-why-we-divide-both-sides/	g6_p14	E
	Subtitle: Week 18	g6_p14	
Video 7	/v/why-we-do-the-same--thing-to-both-sides--two-step-equations/	g6_p14	E
Video 8	/v/why-we-do-the-same--thing-to-both-sides-multi-step-equations/	g6_p14	E
Video 9	/v/why-we-do-the-same--thing-to-both-sides-basic-systems/	g6_p14	E
Video 10	/v/why-all-the-letters-in-algebra/	g6_p14	E
Exercise 1	 /e/one_step_equation_intuition/	g6_p14	E
	Quiz 9	g6_p13, g6_p14	E
			
	Playlist 15: Algebra-variables and expressions	g6_p15	E
	Subtitle: Week 19	g6_p15	
Video 1	/v/what-is-a-variable/	g6_p15	E
Video 2	/v/why-aren-t-we-using-the-multiplication-sign/	g6_p15	E
Video 3	/v/variables-and-expressions-1/	g6_p15	E
Video 4	/v/evaluate-a-formula-using-substitution/	g6_p15	E
Exercise 1	/e/evaluating_expressions_1/	g6_p15	E
Video 5	/v/ca-algebra-i--number-properties-and-absolute-value/	g6_p15	E
Video 6	/v/properties-of-numbers-1/	g6_p15	E
Video 7	/v/number-properties-terminology-1/	g6_p15	E
Video 8	/v/identity-property-of-1/	g6_p15	E
			
	Playlist 16: Determining length of a segment using algebra	g6_p16	E
	Subtitle: Week 20	g6_p16	
Video 1	/v/segment-addition/	g6_p16	E
Exercise 1	/e/segment_addition/	g6_p16	E
Video 2	/v/midpoint-of-a-segment/	g6_p16	E
Exercise 2	/e/midpoint_of_a_segment/	g6_p16	E
Video 3	/v/challenging-perimeter-problem/	g6_p16	E
	Quiz 10	g6_p15, g6_p16	E
			
	Playlist 17: Dividing decimals	g6_p17	E
Video 1	v/dividing-completely-to-get-decimal-answer/	g6_p17	E
Video 2	/v/dividing-completely-to-get-decimal-answer-example-2/	g6_p17	E
Video 3	/v/dividing-a-decimal-by-a-whole-number/	g6_p17	E
Video 4	/v/dividing-a-whole-number-by-a-decimal/	g6_p17	E
Video 5	/v/dividing-decimals/	g6_p17	E
Video 6	/v/dividing-decimal/	g6_p17	E
Exercise 1	/e/dividing_decimals_0.5/	g6_p17	E
Exercise 1	/e/dividing_decimals_1/	g6_p17	E
Exercise 3	/e/dividing_decimals_2/	g6_p17	E
			
	Playlist 18: Converting between fractions and decimals	g6_p18	E
	Subtitle: Week 21	g6_p18	
Video 1	/v/converting-fractions-to-decimals--ex1/	g6_p18	E
Video 2	/v/converting-fractions-to-decimals--ex2/	g6_p18	E
Video 3	/v/converting-fractions-to-decimals/	g6_p18	E
Video 4	/v/converting-fractions-to-decimals-example/	g6_p18	E
Exercise 1	/e/converting_fractions_to_decimals/	g6_p18	E
Video 5	/v/decimals-and-fractions/	g6_p18	E
Video 6	/v/converting-decimals-to-fractions-1-ex-1/	g6_p18	E
Video 7	/v/converting-decimals-to-fractions-1-ex-2/	g6_p18	E
Video 8	/v/converting-decimals-to-fractions-1-ex-3/	g6_p18	E
Video 9	/v/converting-decimals-to-fractions-2-ex-1/	g6_p18	E
Video 10	/v/converting-decimals-to-fractions-2-ex-2/	g6_p18	E
Exercise 2	/e/converting_decimals_to_fractions_1/	g6_p18	E
Exercise 3	/e/converting_decimals_to_fractions_2/	g6_p18	E
	Quiz 11	g6_p17, g6_p18	E
	Unit Test-4	g6_p14, g6_p15, g6_p16, g6_p17, g6_p18	E
			
	Playlist 19: Percentages	g6_p19	E
	Subtitle: Week 22	g6_p19	
Video 1	/v/describing-the-meaning-of-percent/	g6_p19	E
Video 2	/v/describing-the-meaning-of-percent-2/	g6_p19	E
Video 3	/v/representing-a-number-as-a-decimal--percent--and-fraction/	g6_p19	E
Video 4	/v/converting-decimals-to-percents--ex-1/	g6_p19	E
Video 5	/v/converting-decimals-to-percents--ex-2/	g6_p19	E
Video 6	/v/converting-percents-to-decimals--ex-1/	g6_p19	E
Video 7	/v/converting-percents-to-decimals--ex-2/	g6_p19	E
Video 8	/v/finding-percentages-example/	g6_p19	E
Video 9	/v/percent-word-problems/	g6_p19	E
Video 10	/v/taking-a-percentage-example/	g6_p19	E
Video 11	/v/identifying-percent-amount-and-base/	g6_p19	E
Video 12	/v/representing-a-number-as-a-decimal--percent--and-fraction-2/	g6_p19	E
Video 13	/v/ordering-numeric-expressions_DUP_3/ 	g6_p19	E
Exercise 1	/e/converting_decimals_to_percents/	g6_p19	E
Exercise 2	/e/converting_percents_to_decimals/	g6_p19	E
Exercise 3	/e/finding_percents/	g6_p19	E
Video 14	/v/growing-by-a-percentage/	g6_p19	E
Video 15	/v/solving-percent-problems/	g6_p19	E
Video 16	/v/solving-percent-problems-2/	g6_p19	E
Video 17	/v/solving-percent-problems-3/	g6_p19	E
Exercise 4	/e/discount_tax_and_tip_word_problems/	g6_p19	E
Exercise 5	/e/markup_and_commission_word_problems/	g6_p19	E
	Quiz 12	g6_p19	E
			
	Playlist 20: Estimating and rounding decimals/decimal multiplication by 10	g6_p20	E
	Subtitle: Week 23	g6_p20	
Video 1	/v/rounding-decimals/	g6_p20	E
Exercise 1	/e/rounding_numbers/	g6_p20	E
Video 2	/v/estimation-with-decimals/	g6_p20	E
Exercise 2	/e/estimation_with_decimals/	g6_p20	E
Video 3	/v/multiplying-a-decimal-by-a-power-of-10/	g6_p20	E
Video 4	/v/dividing-a-decimal-by-a-power-of-10/	g6_p20	E
Video 5	/v/dividing-decimals-2-1/	g6_p20	E
Exercise 3	/e/understanding_moving_the_decimal/	g6_p20	E
Exercise 4	/e/converting_fractions_to_decimals_0.5/	g6_p20	E
	Quiz 13	g6_p20	E
			
	Playlist 21: Introduction to Geometry	g6_p21	E
	Subtitle: Week 24	g6_p21	
Video 1	/v/euclid-as-the-father-of-geometry/	g6_p21	E
Video 2	/v/language-and-notation-of-basic-geometry/	g6_p21	E
Video 3	/v/lines--line-segments--and-rays/	g6_p21	E
Video 4	/v/drawing-lines-exercise-example/	g6_p21	E
Video 5	/v/specifying-planes-in-three-dimensions/	g6_p21	E
Exercise 1	e/recognizing_rays_lines_and_line_segments/	g6_p21	E
Video 6	/v/the-golden-ratio/	g6_p21	E
Exercise 2	/e/points_lines_and_planes/	g6_p21	E
			
	Playlist 22: Angles and types of angles	g6_p22	E
	Subtitle: Week 25	g6_p22	
Video 1	/v/angles-at-the-intersection-of-two-lines/	g6_p22	E
Video 2	/v/using-algebra-to-find-the-measures-of-vertical-angles/	g6_p22	E
Video 3	/v/proof-vertical-angles-are-equal/	g6_p22	E
Video 4	/v/angles-formed-by-parallel-lines-and-transversals/	g6_p22	E
Video 5	/v/identifying-parallel-and-perpendicular-lines/	g6_p22	E
Video 6	/v/figuring-out-angles-between-transversal-and-parallel-lines/	g6_p22	E
Video 7	/v/using-algebra-to-find-measures-of-angles-formed-from-transversal/	g6_p22	E
Video 8	/v/ca-geometry--deducing-angle-measures/	g6_p22	E
Exercise 1	 /e/vertical_angles/	g6_p22	E
Exercise 2	 /e/vertical_angles_2/	g6_p22	E
Exercise 3	/e/congruent_angles/	g6_p22	E
Exercise 4	/e/parallel_lines_1/	g6_p22	E
Exercise 5	/e/parallel_lines_2/	g6_p22	E
Video 9	v/complementary-and-supplementary-angles/	g6_p22	E
Video 10	/v/complementary-and-supplementary-angles/	g6_p22	E
